feature,standardized_coefficient,absolute_coefficient
user_购买_次数,0.16953356381785606,0.16953356381785606
商家_购买_次数,0.08872456494312972,0.08872456494312972
该商家总行为次数,0.0871244194243787,0.0871244194243787
加购后购买率,0.08377205844368861,0.08377205844368861
商家_浏览_次数,0.08238996715415861,0.08238996715415861
商家行为占比,0.07141290974732513,0.07141290974732513
商家_收藏_次数,0.058715055466378535,0.058715055466378535
age_range,0.04616612812979944,0.04616612812979944
gender,-0.032518363223278314,0.032518363223278314
商家购买占比,-0.028115806276250002,0.028115806276250002
user_加购_次数,-0.027240047608112425,0.027240047608112425
用户购买占比,0.020524728573185946,0.020524728573185946
user_浏览_次数,-0.018351089109725056,0.018351089109725056
用户总行为次数,-0.010173642681642999,0.010173642681642999
商家_加购_次数,-0.006885937377573007,0.006885937377573007
